Spoken form, Cursorless identifier
arg, argumentOrParameter
attribute, attribute
block, paragraph
call, functionCall
cell, notebookCell
car|char|character, character
class, class
class name, className
comment, comment
element, xmlElement
end tag, xmlEndTag
file, document
funk, namedFunction
funk name, functionName
if state, ifStatement
item, collectionItem
key, collectionKey
lambda, anonymousFunction
line, line
list, list
map, map
name, name
regex, regularExpression
start tag, xmlStartTag
state, statement
string, string
tags, xmlBothTags
token, token
type, type
value, value
word|words, word

# 2022-02-12 12:30:16 - New entries automatically added by cursorless
condition, condition
link, url
paint, nonWhitespaceSequence

# 2022-03-05 21:04:32 - New entries automatically added by cursorless
-five section, sectionLevelFive
-four section, sectionLevelFour
-one section, sectionLevelOne
-six section, sectionLevelSix
-three section, sectionLevelThree
-two section, sectionLevelTwo
section, section

# 2022-05-22 17:22:40 - New entries automatically added by cursorless
selector, selector

# 2022-07-07 15:10:10 - New entries automatically added by cursorless
callee, functionCallee
short paint, boundedNonWhitespaceSequence
